lat,long,cell_id,Lbar_g,sigma2_g,sigma_g,pcold_g,pwarm_g
23.6842105263158,142.5,76,297.3043203073389,0.22501950045893054,0.4743622038684475,0.072539592760181,0.07833710407239819
25.578947368421,97.5,77,286.7436214180194,0.09135778875640135,0.30225450990250147,0.022907239819004523,0.003676470588235294
25.578947368421,100,78,285.0228285782298,0.10294466407027748,0.3208499089454094,0.024886877828054297,0.007211538461538462
25.578947368421,102.5,79,285.9001786849078,0.11931878298111541,0.3454255100323591,0.028987556561085974,0.015978506787330315
25.578947368421,105,80,287.6809594260801,0.25775489015592923,0.5076956668673953,0.08710407239819004,0.08667986425339366
25.578947368421,107.5,81,289.19333272426195,0.2612660957772425,0.5111419526679869,0.09276018099547512,0.08837669683257919
25.578947368421,110,82,290.816290584265,0.24716678841903758,0.4971587155215501,0.083710407239819,0.08229638009049774
25.578947368421,112.5,83,290.8324219403763,0.24466658805200792,0.4946378352411064,0.08059954751131222,0.08187217194570136
25.578947368421,115,84,290.9079244981884,0.2396925166564638,0.4895840241025679,0.07607466063348416,0.07861990950226244
25.578947368421,117.5,85,291.36946019579744,0.26020401748065375,0.5101019677286628,0.08399321266968326,0.08781108597285067
25.578947368421,120,86,293.6536762268475,0.21468794337098976,0.46334430326808784,0.06631787330316742,0.06603506787330317
25.578947368421,122.5,87,294.98426139552487,0.22160929735534007,0.47075396690345594,0.06815610859728506,0.07225678733031674
25.578947368421,125,88,295.66633907522373,0.25721266903049955,0.5071613836152152,0.08257918552036199,0.09544683257918551
25.578947368421,127.5,89,295.8032491498403,0.26413276938950064,0.5139384879433536,0.08682126696832579,0.09912330316742081
25.578947368421,130,90,295.71890493395824,0.24956386887460497,0.499563678498152,0.07960972850678733,0.08922511312217195
25.578947368421,132.5,91,295.6682816328506,0.23454890166765321,0.4843024898425087,0.0709841628959276,0.07932692307692307
25.578947368421,135,92,295.777062274392,0.23162697540572863,0.48127640229469865,0.06829751131221719,0.07918552036199095
25.578947368421,137.5,93,295.93137180607425,0.2363501832981444,0.48615859891412433,0.07070135746606335,0.08413461538461539
25.578947368421,140,94,296.0940347307588,0.2444540851570502,0.49442298202758556,0.07423642533936652,0.08837669683257919
25.578947368421,142.5,95,296.24847436167,0.25172966731644464,0.5017266858723429,0.07833710407239819,0.09049773755656108
27.4736842105263,97.5,96,281.758075303082,0.12580415216809152,0.35468881032264254,0.03436085972850679,0.017109728506787332
27.4736842105263,100,97,279.37089199070476,0.15451710365871124,0.3930866363267915,0.04524886877828054,0.025028280542986427
27.4736842105263,102.5,98,282.1334982213212,0.12077108704013685,0.34752134760347725,0.03125,0.01414027149321267
27.4736842105263,105,99,288.42692710839066,0.23775952441805304,0.48760591097530087,0.08130656108597285,0.07536764705882353
27.4736842105263,107.5,100,289.15288107175815,0.2977498670983325,0.5456646104507168,0.10294117647058823,0.10492081447963801
27.4736842105263,110,101,289.12935853579825,0.25125355003492644,0.5012519825745595,0.0858314479638009,0.07975113122171945
27.4736842105263,112.5,102,289.8987354426722,0.27156933135436423,0.5211231441361669,0.09219457013574661,0.09063914027149321
27.4736842105263,115,103,290.23608376645393,0.28797530713601643,0.5366333078891176,0.09473981900452488,0.09813348416289593
27.4736842105263,117.5,104,290.09970195836434,0.27514253945074285,0.5245403125125302,0.0873868778280543,0.08993212669683258
27.4736842105263,120,105,291.31338885359094,0.2585154797311967,0.5084441756291409,0.0815893665158371,0.0831447963800905
27.4736842105263,122.5,106,293.4424960962068,0.22255034955828337,0.47175242400891104,0.06815610859728506,0.06900452488687783
27.4736842105263,125,107,294.35036975298175,0.24841055167723283,0.49840801726821454,0.07805429864253394,0.0858314479638009
27.4736842105263,127.5,108,294.81035522062496,0.2592676058583495,0.509183273348948,0.08130656108597285,0.09375
27.4736842105263,130,109,294.9200107907458,0.255637135576781,0.5056057115745243,0.08017533936651584,0.09233597285067874
27.4736842105263,132.5,110,294.80817667211704,0.23911324096546366,0.488992066362496,0.07211538461538461,0.08257918552036199
27.4736842105263,135,111,294.767791922096,0.22587907582653433,0.4752673729875998,0.06575226244343892,0.07649886877828055
27.4736842105263,137.5,112,294.8552958343184,0.22825522385245314,0.4777606344734287,0.06561085972850679,0.07805429864253394
27.4736842105263,140,113,294.97101204032094,0.23832158993588318,0.48818192299170926,0.06942873303167421,0.08498303167420815
27.4736842105263,142.5,114,295.0982900579231,0.2503641451390762,0.5003640126338785,0.07183257918552036,0.09233597285067874
29.3684210526316,97.5,115,274.71676579391976,0.2742315799414467,0.5236712517805868,0.09247737556561086,0.08399321266968326
29.3684210526316,100,116,274.0927886531364,0.2355856883089946,0.48537170118270656,0.07819570135746606,0.06801470588235294
29.3684210526316,102.5,117,279.1071025451384,0.17368948117766764,0.41676070013578254,0.05415723981900453,0.03308823529411765
29.3684210526316,105,118,286.9699896356459,0.2188943129535314,0.46786142494710053,0.07565045248868778,0.06179298642533937
29.3684210526316,107.5,119,287.6043793975318,0.21871136169202096,0.46766586543388106,0.07197398190045248,0.0630656108597285
29.3684210526316,110,120,287.23994054226137,0.23676173800241251,0.4865816868753,0.0810237556561086,0.06914592760180996
29.3684210526316,112.5,121,288.6844376111642,0.24646140387098797,0.49644879279839926,0.08229638009049774,0.0767816742081448
29.3684210526316,115,122,289.399368399049,0.2906191332632452,0.5390910250256863,0.09714366515837104,0.09530542986425339
29.3684210526316,117.5,123,288.8775682212001,0.2773225955046768,0.5266142758268871,0.0900735294117647,0.08865950226244344
29.3684210526316,120,124,288.621521350665,0.3093085148871727,0.5561551176489997,0.1016685520361991,0.09983031674208145
29.3684210526316,122.5,125,291.64167716995803,0.2540669047709817,0.5040504982350297,0.08130656108597285,0.07918552036199095
29.3684210526316,125,126,292.8226420433453,0.24755253125595264,0.4975465116508733,0.07607466063348416,0.0815893665158371
29.3684210526316,127.5,127,293.44959435311915,0.2450497376976103,0.49502498694268987,0.07451923076923077,0.08569004524886878
