city,long,lati,year,ensemble_mean_kelvin
Beijing,116.283,39.933,1522,280.1743552040545
HongKong,114.167,22.333,1523,295.7225640241543
Shanghai,121.433,31.167,1523,289.82330780454777
Beijing,116.283,39.933,1523,280.20224309632476
HongKong,114.167,22.333,1524,295.6517451970187
Shanghai,121.433,31.167,1524,289.6705126529941
Beijing,116.283,39.933,1524,280.1240483551099
HongKong,114.167,22.333,1525,295.5631238967183
Shanghai,121.433,31.167,1525,289.6666896517416
Beijing,116.283,39.933,1525,279.9686340883709
HongKong,114.167,22.333,1526,295.6547680473561
Shanghai,121.433,31.167,1526,289.7906823213277
Beijing,116.283,39.933,1526,280.2033257709408
HongKong,114.167,22.333,1527,295.5573442534604
Shanghai,121.433,31.167,1527,289.4710599368269
Beijing,116.283,39.933,1527,279.7659313262196
HongKong,114.167,22.333,1528,295.58619902175883
Shanghai,121.433,31.167,1528,289.77021681841296
Beijing,116.283,39.933,1528,280.1145462292149
HongKong,114.167,22.333,1529,295.7838502979495
Shanghai,121.433,31.167,1529,289.7793598517448
Beijing,116.283,39.933,1529,279.8741237460723
HongKong,114.167,22.333,1530,295.67720958933495
Shanghai,121.433,31.167,1530,289.53649471898933
Beijing,116.283,39.933,1530,279.96557646798584
HongKong,114.167,22.333,1531,295.66310558306
Shanghai,121.433,31.167,1531,289.8123641697542
Beijing,116.283,39.933,1531,280.04463969044645
HongKong,114.167,22.333,1532,295.7335231578663
Shanghai,121.433,31.167,1532,289.7363939893791
Beijing,116.283,39.933,1532,280.1642951116777
HongKong,114.167,22.333,1533,295.65755292428395
Shanghai,121.433,31.167,1533,289.6965120205043
Beijing,116.283,39.933,1533,280.1610370860441
HongKong,114.167,22.333,1534,295.75819371080235
Shanghai,121.433,31.167,1534,289.84230825796266
Beijing,116.283,39.933,1534,280.1826877589487
HongKong,114.167,22.333,1535,295.51388586920046
Shanghai,121.433,31.167,1535,289.85857128595967
Beijing,116.283,39.933,1535,280.4774744799075
HongKong,114.167,22.333,1536,295.7002313995305
Shanghai,121.433,31.167,1536,289.9288062704258
Beijing,116.283,39.933,1536,280.10450974712865
HongKong,114.167,22.333,1537,295.6169667675902
Shanghai,121.433,31.167,1537,289.86216460376687
Beijing,116.283,39.933,1537,280.16526168177325
HongKong,114.167,22.333,1538,295.7764499317013
Shanghai,121.433,31.167,1538,289.89804192642356
Beijing,116.283,39.933,1538,280.0579836998045
HongKong,114.167,22.333,1539,295.8383200509741
Shanghai,121.433,31.167,1539,289.7512959712584
Beijing,116.283,39.933,1539,279.94247227974523
HongKong,114.167,22.333,1540,295.7003981541231
Shanghai,121.433,31.167,1540,289.4764348969904
Beijing,116.283,39.933,1540,279.8122740930718
HongKong,114.167,22.333,1541,295.6786233902194
Shanghai,121.433,31.167,1541,289.72599587509563
Beijing,116.283,39.933,1541,280.2015340364942
HongKong,114.167,22.333,1542,295.5691672759504
Shanghai,121.433,31.167,1542,289.64207767072224
Beijing,116.283,39.933,1542,280.00629061458193
HongKong,114.167,22.333,1543,295.6028553865961
Shanghai,121.433,31.167,1543,289.56588114734143
Beijing,116.283,39.933,1543,279.9860300505808
HongKong,114.167,22.333,1544,295.88197872953725
Shanghai,121.433,31.167,1544,289.7847031772056
Beijing,116.283,39.933,1544,280.12817555232
HongKong,114.167,22.333,1545,295.84192835422544
Shanghai,121.433,31.167,1545,289.85220314850164
Beijing,116.283,39.933,1545,280.2052277608964
HongKong,114.167,22.333,1546,295.63618909407984
Shanghai,121.433,31.167,1546,289.80851956607404
Beijing,116.283,39.933,1546,280.15702765124473
HongKong,114.167,22.333,1547,295.5029319296404
Shanghai,121.433,31.167,1547,289.81133749824676
Beijing,116.283,39.933,1547,280.2497913843515
HongKong,114.167,22.333,1548,295.52896641612983
Shanghai,121.433,31.167,1548,289.65995446742545
Beijing,116.283,39.933,1548,280.0727078896955
HongKong,114.167,22.333,1549,295.6876380319435
Shanghai,121.433,31.167,1549,289.7757999494174
Beijing,116.283,39.933,1549,280.170346060819
HongKong,114.167,22.333,1550,295.8752934573568
Shanghai,121.433,31.167,1550,289.9511336068488
Beijing,116.283,39.933,1550,280.3194149630599
HongKong,114.167,22.333,1551,295.81755847991974
Shanghai,121.433,31.167,1551,289.8029246665198
Beijing,116.283,39.933,1551,280.2792675400284
HongKong,114.167,22.333,1552,295.6603264724793
Shanghai,121.433,31.167,1552,289.8192576829141
Beijing,116.283,39.933,1552,280.26924191719485
HongKong,114.167,22.333,1553,295.5748628360413
Shanghai,121.433,31.167,1553,289.6789455695343
Beijing,116.283,39.933,1553,280.2419874168375
HongKong,114.167,22.333,1554,295.8084229890757
Shanghai,121.433,31.167,1554,289.72620240549253
Beijing,116.283,39.933,1554,280.0530654146506
HongKong,114.167,22.333,1555,295.75952711195976
Shanghai,121.433,31.167,1555,289.6518174977753
Beijing,116.283,39.933,1555,279.9184014406639
HongKong,114.167,22.333,1556,295.59836221271314
Shanghai,121.433,31.167,1556,289.60776715113883
Beijing,116.283,39.933,1556,279.97187462772507
HongKong,114.167,22.333,1557,295.8033544407692
Shanghai,121.433,31.167,1557,289.72842831566203
Beijing,116.283,39.933,1557,280.1392268250604
HongKong,114.167,22.333,1558,295.8419065834526
Shanghai,121.433,31.167,1558,289.7733195610072
